t,x,y,theta,v,omega,h,gamma1,gamma2
16.600000,3.932643,-0.825546,1.115313,0.550314,0.111992,0.620990,0.001000,0.001000
16.700000,3.956574,-0.775991,1.126512,0.557195,0.092354,0.649332,0.001000,0.001000
16.800000,3.980290,-0.725571,1.135748,0.563303,0.074864,0.675786,0.001000,0.001000
16.900000,4.003839,-0.674399,1.143234,0.568628,0.059354,0.700229,0.001000,0.001000
17.000000,4.027264,-0.622585,1.149170,0.573167,0.045646,0.722601,0.001000,0.001000
17.100000,4.050601,-0.570235,1.153734,0.576918,0.033552,0.742806,0.001000,0.001000
17.200000,4.073882,-0.517449,1.157089,0.579884,0.022869,0.760692,0.001000,0.001000
17.300000,4.097133,-0.464326,1.159376,0.582070,0.013400,0.776193,0.001000,0.001000
17.400000,4.120375,-0.410961,1.160716,0.583484,0.004937,0.789174,0.001000,0.001000
17.500000,4.143624,-0.357445,1.161210,0.584134,-0.002723,0.799427,0.001000,0.001000
17.600000,4.166894,-0.303866,1.160938,0.584028,-0.009763,0.806832,0.001000,0.001000
17.700000,4.190192,-0.250312,1.159961,0.583175,-0.016370,0.811217,0.001000,0.001000
17.800000,4.213526,-0.196866,1.158324,0.581578,-0.022702,0.812333,0.001000,0.001000
17.900000,4.236901,-0.143612,1.156054,0.579241,-0.028905,0.810067,0.001000,0.001000
18.000000,4.260318,-0.090633,1.153164,0.576158,-0.035116,0.804249,0.001000,0.001000
18.100000,4.283779,-0.038010,1.149652,0.572320,-0.041461,0.794681,0.001000,0.001000
18.200000,4.307284,0.014173,1.145506,0.567709,-0.048061,0.781293,0.001000,0.001000
18.300000,4.330831,0.065830,1.140700,0.562295,-0.055051,0.764001,0.001000,0.001000
18.400000,4.354417,0.116873,1.135195,0.556038,-0.062586,0.742744,0.001000,0.001000
18.500000,4.378037,0.167211,1.128936,0.548875,-0.070879,0.717554,0.001000,0.001000
18.600000,4.401684,0.216743,1.121848,0.540722,-0.080201,0.688480,0.001000,0.001000
18.700000,4.425348,0.265363,1.113828,0.531455,-0.090969,0.655643,0.001000,0.001000
18.800000,4.449013,0.312948,1.104731,0.520902,-0.103764,0.619256,0.001000,0.001000
18.900000,4.472662,0.359360,1.094355,0.508813,-0.119529,0.579570,0.001000,0.001000
19.000000,4.496267,0.404434,1.082402,0.494823,-0.139741,0.536912,0.001000,0.001000
19.100000,4.519789,0.447968,1.068428,0.478427,-0.166776,0.491789,0.001000,0.001000
19.200000,4.543174,0.489705,1.051750,0.458952,-0.204517,0.444730,0.001000,0.001000
19.300000,4.566347,0.529320,1.031299,0.435646,-0.259156,0.396408,0.001000,0.001000
19.400000,4.589208,0.566403,1.005383,0.408111,-0.339367,0.347578,0.001000,0.001000
