t,x,y,theta,v,omega,h,gamma1,gamma2
24.100000,5.679738,0.468878,-0.663567,0.535188,-0.584412,0.217193,0.482083,0.001000
24.200000,5.720913,0.434701,-0.722008,0.538059,-0.575957,0.204040,0.472060,0.001000
24.300000,5.760247,0.397998,-0.779604,0.313168,-0.619144,0.183517,0.812827,0.001000
24.400000,5.781824,0.375307,-0.841518,0.004505,-0.626840,0.169365,0.893008,0.001000
24.500000,5.782113,0.374962,-0.904202,0.120726,-0.488185,0.172163,0.893008,0.001000
24.600000,5.789343,0.365296,-0.953021,0.013430,-0.440281,0.167700,0.963165,0.001000
24.700000,5.790097,0.364184,-0.997049,0.051181,-0.350861,0.168469,1.013278,0.001000
24.800000,5.792799,0.359838,-1.032135,-0.022852,-0.304564,0.166942,1.113504,0.001000
24.900000,5.791657,0.361817,-1.062592,0.003346,-0.230480,0.168556,1.213729,0.001000
25.000000,5.791816,0.361523,-1.085640,0.079814,-0.183022,0.168746,1.213729,0.001000
25.100000,5.795473,0.354429,-1.103942,-0.021711,-0.192918,0.165759,1.253820,0.001000
25.200000,5.794515,0.356377,-1.123234,0.049596,-0.141909,0.166803,1.293910,0.001000
25.300000,5.796630,0.351891,-1.137425,0.000360,-0.149181,0.165049,1.313955,0.001000
25.400000,5.796644,0.351858,-1.152343,0.073802,-0.122053,0.165139,1.303932,0.001000
25.500000,5.799602,0.345096,-1.164548,0.085290,-0.153570,0.162499,1.173639,0.311699
25.600000,5.802912,0.337236,-1.179905,0.098728,-0.188549,0.159325,0.973188,0.602353
25.700000,5.806588,0.328073,-1.198760,0.107472,-0.225874,0.155563,0.782759,0.782759
25.800000,5.810381,0.318018,-1.221347,0.227499,-0.251974,0.151442,0.502128,0.923075
25.900000,5.817900,0.296547,-1.246545,0.216520,-0.353193,0.141851,0.141316,1.113504
26.000000,5.824435,0.275906,-1.281864,0.201175,-0.403540,0.132743,0.001000,1.193684
26.100000,5.829776,0.256512,-1.322218,0.209959,-0.410281,0.124888,0.001000,1.213729
26.200000,5.834523,0.236061,-1.363246,-0.011241,-0.419771,0.117258,0.411925,1.093459
26.300000,5.834314,0.237165,-1.405223,0.280411,-0.281597,0.118847,0.291654,1.233774
26.400000,5.838546,0.209446,-1.433383,-0.137029,-0.330095,0.110386,0.903030,1.003256
26.500000,5.836893,0.223049,-1.466392,-0.062655,-0.181315,0.114800,1.263842,0.862940
26.600000,5.836297,0.229286,-1.484524,0.034103,-0.099468,0.116411,1.464293,0.702579
26.700000,5.836574,0.225887,-1.494471,-0.011556,-0.080170,0.115737,1.634677,0.612376
26.800000,5.836490,0.227039,-1.502488,-0.062264,-0.052616,0.115990,1.835128,0.452015
26.900000,5.836082,0.233252,-1.507749,-0.022933,-0.019197,0.117159,1.955398,0.001000
27.000000,5.835939,0.235541,-1.509669,-0.331021,-0.014575,0.117572,2.306188,0.111248
