t,x,y,theta,v,omega,h,gamma1,gamma2
1.570000,0.222786,0.058641,1.205120,0.463721,-0.023487,0.829784,0.266310,0.130843
1.580000,0.224444,0.062972,1.204885,0.464315,-0.026504,0.827454,0.267554,0.131148
1.590000,0.226106,0.067307,1.204620,0.464889,-0.029459,0.825100,0.268816,0.131457
1.600000,0.227771,0.071648,1.204325,0.465446,-0.032353,0.822721,0.270098,0.131771
1.610000,0.229440,0.075993,1.204002,0.465984,-0.035186,0.820300,0.271409,0.132090
1.620000,0.231112,0.080342,1.203650,0.466504,-0.037961,0.817862,0.272736,0.132412
1.630000,0.232787,0.084696,1.203270,0.467005,-0.040680,0.815361,0.274103,0.132744
1.640000,0.234466,0.089054,1.202863,0.467489,-0.043343,0.812857,0.275480,0.133077
1.650000,0.236148,0.093416,1.202430,0.467954,-0.045952,0.810301,0.276891,0.133417
1.660000,0.237835,0.097781,1.201970,0.468401,-0.048508,0.807730,0.278319,0.133761
1.670000,0.239524,0.102149,1.201485,0.468830,-0.051012,0.805125,0.279772,0.134110
1.680000,0.241218,0.106521,1.200975,0.469241,-0.053466,0.802478,0.281258,0.134465
1.690000,0.242915,0.110896,1.200441,0.469635,-0.055871,0.799811,0.282762,0.134824
1.700000,0.244616,0.115273,1.199882,0.470010,-0.058227,0.797093,0.284303,0.135191
1.710000,0.246321,0.119653,1.199300,0.470368,-0.060537,0.794372,0.285855,0.135559
1.720000,0.248030,0.124036,1.198694,0.470708,-0.062802,0.791592,0.287448,0.135937
1.730000,0.249743,0.128420,1.198066,0.471030,-0.065022,0.788805,0.289055,0.136316
1.740000,0.251459,0.132806,1.197416,0.471335,-0.067200,0.785966,0.290701,0.136704
1.750000,0.253180,0.137194,1.196744,0.471621,-0.069336,0.783100,0.292372,0.137096
1.760000,0.254905,0.141584,1.196051,0.471890,-0.071431,0.780210,0.294067,0.137493
1.770000,0.256634,0.145975,1.195336,0.472142,-0.073488,0.777278,0.295796,0.137897
1.780000,0.258367,0.150367,1.194601,0.472376,-0.075505,0.774340,0.297540,0.138302
1.790000,0.260104,0.154759,1.193846,0.472592,-0.077487,0.771341,0.299329,0.138718
1.800000,0.261845,0.159153,1.193072,0.472791,-0.079431,0.768330,0.301138,0.139136
